Date : 2024-03-17 23:49:27
Directory : /opt/projects/swiftkube
Total : 8871 files,  2953166 codes, 17663 comments, 334877 blanks, all 3305706 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/certificates/v1/certificatesigningrequestcondition.go                               | Go               |         76 |          0 |         15 |         91 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/certificates/v1/certificatesigningrequestspec.go                                    | Go               |        102 |          0 |         17 |        119 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/certificates/v1/certificatesigningrequeststatus.go                                  | Go               |         46 |          0 |         10 |         56 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/certificates/v1alpha1/clustertrustbundle.go                                         | Go               |        218 |          0 |         30 |        248 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/certificates/v1alpha1/clustertrustbundlespec.go                                     | Go               |         39 |          0 |         10 |         49 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/certificates/v1beta1/certificatesigningrequest.go                                   | Go               |        226 |          0 |         31 |        257 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/certificates/v1beta1/certificatesigningrequestcondition.go                          | Go               |         76 |          0 |         15 |         91 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/certificates/v1beta1/certificatesigningrequestspec.go                               | Go               |        102 |          0 |         17 |        119 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/certificates/v1beta1/certificatesigningrequeststatus.go                             | Go               |         46 |          0 |         10 |         56 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/coordination/v1/lease.go                                                            | Go               |        220 |          0 |         30 |        250 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/coordination/v1/leasespec.go                                                        | Go               |         66 |          0 |         14 |         80 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/coordination/v1beta1/lease.go                                                       | Go               |        220 |          0 |         30 |        250 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/coordination/v1beta1/leasespec.go                                                   | Go               |         66 |          0 |         14 |         80 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/affinity.go                                                                 | Go               |         47 |          0 |         11 |         58 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/attachedvolume.go                                                           | Go               |         42 |          0 |         11 |         53 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/awselasticblockstorevolumesource.go                                         | Go               |         55 |          0 |         12 |         67 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/azurediskvolumesource.go                                                    | Go               |         74 |          0 |         15 |         89 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/azurefilepersistentvolumesource.go                                          | Go               |         55 |          0 |         12 |         67 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/azurefilevolumesource.go                                                    | Go               |         47 |          0 |         11 |         58 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/capabilities.go                                                             | Go               |         46 |          0 |         11 |         57 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/cephfspersistentvolumesource.go                                             | Go               |         73 |          0 |         14 |         87 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/cephfsvolumesource.go                                                       | Go               |         73 |          0 |         14 |         87 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/cinderpersistentvolumesource.go                                             | Go               |         55 |          0 |         12 |         67 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/cindervolumesource.go                                                       | Go               |         55 |          0 |         12 |         67 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/claimsource.go                                                              | Go               |         39 |          0 |         10 |         49 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/clientipconfig.go                                                           | Go               |         31 |          0 |          9 |         40 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/componentcondition.go                                                       | Go               |         58 |          0 |         13 |         71 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/componentstatus.go                                                          | Go               |        223 |          0 |         30 |        253 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/configmap.go                                                                | Go               |        248 |          0 |         32 |        280 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/configmapenvsource.go                                                       | Go               |         39 |          0 |         10 |         49 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/configmapkeyselector.go                                                     | Go               |         47 |          0 |         11 |         58 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/configmapnodeconfigsource.go                                                | Go               |         66 |          0 |         14 |         80 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/configmapprojection.go                                                      | Go               |         52 |          0 |         11 |         63 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/configmapvolumesource.go                                                    | Go               |         60 |          0 |         12 |         72 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/container.go                                                                | Go               |        252 |          0 |         33 |        285 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/containerimage.go                                                           | Go               |         41 |          0 |         10 |         51 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/containerport.go                                                            | Go               |         66 |          0 |         14 |         80 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/containerresizepolicy.go                                                    | Go               |         42 |          0 |         11 |         53 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/containerstate.go                                                           | Go               |         47 |          0 |         11 |         58 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/containerstaterunning.go                                                    | Go               |         34 |          0 |         10 |         44 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/containerstateterminated.go                                                 | Go               |         82 |          0 |         16 |         98 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/containerstatewaiting.go                                                    | Go               |         39 |          0 |         10 |         49 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/containerstatus.go                                                          | Go               |        114 |          0 |         20 |        134 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/csipersistentvolumesource.go                                                | Go               |        109 |          0 |         18 |        127 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/csivolumesource.go                                                          | Go               |         69 |          0 |         13 |         82 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/daemonendpoint.go                                                           | Go               |         31 |          0 |          9 |         40 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/downwardapiprojection.go                                                    | Go               |         36 |          0 |          9 |         45 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/downwardapivolumefile.go                                                    | Go               |         55 |          0 |         12 |         67 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/downwardapivolumesource.go                                                  | Go               |         44 |          0 |         10 |         54 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/emptydirvolumesource.go                                                     | Go               |         43 |          0 |         11 |         54 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/endpointaddress.go                                                          | Go               |         55 |          0 |         12 |         67 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/endpointport.go                                                             | Go               |         58 |          0 |         13 |         71 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/endpoints.go                                                                | Go               |        225 |          0 |         30 |        255 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/endpointsubset.go                                                           | Go               |         62 |          0 |         11 |         73 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/envfromsource.go                                                            | Go               |         47 |          0 |         11 |         58 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/envvar.go                                                                   | Go               |         47 |          0 |         11 |         58 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/envvarsource.go                                                             | Go               |         55 |          0 |         12 |         67 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/ephemeralcontainer.go                                                       | Go               |        237 |          0 |         34 |        271 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/ephemeralcontainercommon.go                                                 | Go               |        252 |          0 |         33 |        285 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/ephemeralvolumesource.go                                                    | Go               |         31 |          0 |          9 |         40 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/event.go                                                                    | Go               |        324 |          0 |         43 |        367 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/eventseries.go                                                              | Go               |         42 |          0 |         11 |         53 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/eventsource.go                                                              | Go               |         39 |          0 |         10 |         49 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/execaction.go                                                               | Go               |         33 |          0 |          9 |         42 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/fcvolumesource.go                                                           | Go               |         67 |          0 |         13 |         80 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/flexpersistentvolumesource.go                                               | Go               |         69 |          0 |         13 |         82 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/flexvolumesource.go                                                         | Go               |         69 |          0 |         13 |         82 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/flockervolumesource.go                                                      | Go               |         39 |          0 |         10 |         49 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/gcepersistentdiskvolumesource.go                                            | Go               |         55 |          0 |         12 |         67 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/gitrepovolumesource.go                                                      | Go               |         47 |          0 |         11 |         58 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/glusterfspersistentvolumesource.go                                          | Go               |         55 |          0 |         12 |         67 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/glusterfsvolumesource.go                                                    | Go               |         47 |          0 |         11 |         58 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/grpcaction.go                                                               | Go               |         39 |          0 |         10 |         49 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/hostalias.go                                                                | Go               |         41 |          0 |         10 |         51 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/hostip.go                                                                   | Go               |         31 |          0 |          9 |         40 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/hostpathvolumesource.go                                                     | Go               |         42 |          0 |         11 |         53 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/httpgetaction.go                                                            | Go               |         72 |          0 |         14 |         86 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/httpheader.go                                                               | Go               |         39 |          0 |         10 |         49 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/iscsipersistentvolumesource.go                                              | Go               |        113 |          0 |         19 |        132 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/iscsivolumesource.go                                                        | Go               |        113 |          0 |         19 |        132 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/keytopath.go                                                                | Go               |         47 |          0 |         11 |         58 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/lifecycle.go                                                                | Go               |         39 |          0 |         10 |         49 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/lifecyclehandler.go                                                         | Go               |         47 |          0 |         11 |         58 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/limitrange.go                                                               | Go               |        220 |          0 |         30 |        250 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/limitrangeitem.go                                                           | Go               |         74 |          0 |         15 |         89 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/limitrangespec.go                                                           | Go               |         36 |          0 |          9 |         45 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/loadbalanceringress.go                                                      | Go               |         52 |          0 |         11 |         63 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/loadbalancerstatus.go                                                       | Go               |         36 |          0 |          9 |         45 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/localobjectreference.go                                                     | Go               |         31 |          0 |          9 |         40 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/localvolumesource.go                                                        | Go               |         39 |          0 |         10 |         49 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/namespace.go                                                                | Go               |        226 |          0 |         31 |        257 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/namespacecondition.go                                                       | Go               |         67 |          0 |         14 |         81 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/namespacespec.go                                                            | Go               |         36 |          0 |         10 |         46 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/namespacestatus.go                                                          | Go               |         47 |          0 |         11 |         58 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/nfsvolumesource.go                                                          | Go               |         47 |          0 |         11 |         58 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/node.go                                                                     | Go               |        226 |          0 |         31 |        257 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/nodeaddress.go                                                              | Go               |         42 |          0 |         11 |         53 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/nodeaffinity.go                                                             | Go               |         44 |          0 |         10 |         54 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/nodecondition.go                                                            | Go               |         75 |          0 |         15 |         90 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/nodeconfigsource.go                                                         | Go               |         31 |          0 |          9 |         40 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/nodeconfigstatus.go                                                         | Go               |         55 |          0 |         12 |         67 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/nodedaemonendpoints.go                                                      | Go               |         31 |          0 |          9 |         40 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/nodeselector.go                                                             | Go               |         36 |          0 |          9 |         45 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/nodeselectorrequirement.go                                                  | Go               |         52 |          0 |         12 |         64 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/nodeselectorterm.go                                                         | Go               |         49 |          0 |         10 |         59 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/nodespec.go                                                                 | Go               |         86 |          0 |         15 |        101 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/nodestatus.go                                                               | Go               |        136 |          0 |         20 |        156 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/nodesysteminfo.go                                                           | Go               |        103 |          0 |         18 |        121 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/objectfieldselector.go                                                      | Go               |         39 |          0 |         10 |         49 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/objectreference.go                                                          | Go               |         82 |          0 |         16 |         98 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/persistentvolume.go                                                         | Go               |        226 |          0 |         31 |        257 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/persistentvolumeclaim.go                                                    | Go               |        228 |          0 |         31 |        259 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/persistentvolumeclaimcondition.go                                           | Go               |         75 |          0 |         15 |         90 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/persistentvolumeclaimspec.go                                                | Go               |         93 |          0 |         17 |        110 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/persistentvolumeclaimstatus.go                                              | Go               |         87 |          0 |         15 |        102 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/persistentvolumeclaimtemplate.go                                            | Go               |        165 |          0 |         24 |        189 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/persistentvolumeclaimvolumesource.go                                        | Go               |         39 |          0 |         10 |         49 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/persistentvolumesource.go                                                   | Go               |        199 |          0 |         30 |        229 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/persistentvolumespec.go                                                     | Go               |        249 |          0 |         39 |        288 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/persistentvolumestatus.go                                                   | Go               |         59 |          0 |         13 |         72 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/photonpersistentdiskvolumesource.go                                         | Go               |         39 |          0 |         10 |         49 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/pod.go                                                                      | Go               |        228 |          0 |         31 |        259 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/podaffinity.go                                                              | Go               |         49 |          0 |         10 |         59 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/podaffinityterm.go                                                          | Go               |         60 |          0 |         13 |         73 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/podantiaffinity.go                                                          | Go               |         49 |          0 |         10 |         59 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/podcondition.go                                                             | Go               |         75 |          0 |         15 |         90 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/poddnsconfig.go                                                             | Go               |         56 |          0 |         11 |         67 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/poddnsconfigoption.go                                                       | Go               |         39 |          0 |         10 |         49 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/podip.go                                                                    | Go               |         31 |          0 |          9 |         40 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/podos.go                                                                    | Go               |         34 |          0 |         10 |         44 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/podreadinessgate.go                                                         | Go               |         34 |          0 |         10 |         44 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/podresourceclaim.go                                                         | Go               |         39 |          0 |         10 |         49 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/podresourceclaimstatus.go                                                   | Go               |         39 |          0 |         10 |         49 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/podschedulinggate.go                                                        | Go               |         31 |          0 |          9 |         40 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/podsecuritycontext.go                                                       | Go               |        113 |          0 |         19 |        132 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/podspec.go                                                                  | Go               |        399 |          0 |         48 |        447 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/podstatus.go                                                                | Go               |        190 |          0 |         25 |        215 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/podtemplate.go                                                              | Go               |        220 |          0 |         30 |        250 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/podtemplatespec.go                                                          | Go               |        165 |          0 |         24 |        189 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/portstatus.go                                                               | Go               |         50 |          0 |         12 |         62 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/portworxvolumesource.go                                                     | Go               |         47 |          0 |         11 |         58 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/preferredschedulingterm.go                                                  | Go               |         39 |          0 |         10 |         49 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/probe.go                                                                    | Go               |        100 |          0 |         18 |        118 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/probehandler.go                                                             | Go               |         55 |          0 |         12 |         67 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/projectedvolumesource.go                                                    | Go               |         44 |          0 |         10 |         54 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/quobytevolumesource.go                                                      | Go               |         71 |          0 |         14 |         85 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/rbdpersistentvolumesource.go                                                | Go               |         89 |          0 |         16 |        105 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/rbdvolumesource.go                                                          | Go               |         89 |          0 |         16 |        105 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/replicationcontroller.go                                                    | Go               |        228 |          0 |         31 |        259 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/replicationcontrollercondition.go                                           | Go               |         67 |          0 |         14 |         81 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/replicationcontrollerspec.go                                                | Go               |         61 |          0 |         12 |         73 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/replicationcontrollerstatus.go                                              | Go               |         76 |          0 |         14 |         90 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/resourceclaim.go                                                            | Go               |         31 |          0 |          9 |         40 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/resourcefieldselector.go                                                    | Go               |         50 |          0 |         12 |         62 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/resourcequota.go                                                            | Go               |        228 |          0 |         31 |        259 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/resourcequotaspec.go                                                        | Go               |         52 |          0 |         12 |         64 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/resourcequotastatus.go                                                      | Go               |         42 |          0 |         11 |         53 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/resourcerequirements.go                                                     | Go               |         55 |          0 |         12 |         67 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/scaleiopersistentvolumesource.go                                            | Go               |        103 |          0 |         18 |        121 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/scaleiovolumesource.go                                                      | Go               |        103 |          0 |         18 |        121 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/scopedresourceselectorrequirement.go                                        | Go               |         52 |          0 |         12 |         64 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/scopeselector.go                                                            | Go               |         36 |          0 |          9 |         45 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/seccompprofile.go                                                           | Go               |         42 |          0 |         11 |         53 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/secret.go                                                                   | Go               |        256 |          0 |         33 |        289 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/secretenvsource.go                                                          | Go               |         39 |          0 |         10 |         49 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/secretkeyselector.go                                                        | Go               |         47 |          0 |         11 |         58 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/secretprojection.go                                                         | Go               |         52 |          0 |         11 |         63 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/secretreference.go                                                          | Go               |         39 |          0 |         10 |         49 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/secretvolumesource.go                                                       | Go               |         60 |          0 |         12 |         72 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/securitycontext.go                                                          | Go               |        114 |          0 |         20 |        134 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/selinuxoptions.go                                                           | Go               |         55 |          0 |         12 |         67 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/service.go                                                                  | Go               |        228 |          0 |         31 |        259 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/serviceaccount.go                                                           | Go               |        246 |          0 |         32 |        278 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/serviceaccounttokenprojection.go                                            | Go               |         47 |          0 |         11 |         58 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/serviceport.go                                                              | Go               |         75 |          0 |         15 |         90 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/servicespec.go                                                              | Go               |        197 |          0 |         28 |        225 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/servicestatus.go                                                            | Go               |         47 |          0 |         11 |         58 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/sessionaffinityconfig.go                                                    | Go               |         31 |          0 |          9 |         40 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/storageospersistentvolumesource.go                                          | Go               |         63 |          0 |         13 |         76 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/storageosvolumesource.go                                                    | Go               |         63 |          0 |         13 |         76 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/sysctl.go                                                                   | Go               |         39 |          0 |         10 |         49 |
| /opt/projects/swiftkube/vendor/k8s.io/client-go/applyconfigurations/core/v1/taint.go                                                                    | Go               |         59 |          0 |         13 |         72 |
